stvr,pval,animal,group,unit,pps,deaf_dur,SGN
0.116572558,0.220436373,I4,ED-US,I4_s14-6,40,289,21214.5
0.190978385,0.002840614,I4,ED-US,I4_s14-6,80,289,21214.5
0.106327353,0.327659231,I4,ED-US,I4_s14-6,160,289,21214.5
0.106261426,0.32843387,I4,ED-US,I4_s14-6,320,289,21214.5
0.047766531,0.917688818,I4,ED-US,I4_s14-6,640,289,21214.5
0.12416436,0.158477555,I4,ED-US,I4_s17-2,20,303,21214.5
0.193137376,0.014700654,I4,ED-US,I4_s17-2,40,303,21214.5
0.233059674,0.002336905,I4,ED-US,I4_s17-2,80,303,21214.5
0.165756759,0.04495793,I4,ED-US,I4_s17-2,160,303,21214.5
0.099300208,0.376168237,I4,ED-US,I4_s17-2,320,303,21214.5
0.212585296,0.016572014,I4,ED-US,I4_s17-2,640,303,21214.5
0.365421666,7.85E-11,I4,ED-US,I4_s18-1,20,307,21214.5
0.459342376,1.11E-16,I4,ED-US,I4_s18-1,40,307,21214.5
0.241910585,4.46E-05,I4,ED-US,I4_s18-1,80,307,21214.5
0.20885003,0.000727371,I4,ED-US,I4_s18-1,160,307,21214.5
0,1,I4,ED-US,I4_s18-1,320,307,21214.5
0,1,I4,ED-US,I4_s18-1,640,307,21214.5
0.532142113,0,I5,ED-US,I5_s05-6,20,267,13718
0.334403556,3.30E-09,I5,ED-US,I5_s05-6,40,267,13718
0.236555365,7.18E-05,I5,ED-US,I5_s05-6,80,267,13718
0.129846379,0.121442609,I5,ED-US,I5_s05-6,160,267,13718
0.180097879,0.006168885,I5,ED-US,I5_s05-6,320,267,13718
0,1,I5,ED-US,I5_s05-6,640,267,13718
0.106092477,0.330423658,I5,ED-US,I5_s06-3,20,270,13718
0.083442952,0.63740602,I5,ED-US,I5_s06-3,40,270,13718
0.111378609,0.271449681,I5,ED-US,I5_s06-3,80,270,13718
0.19605862,0.00194979,I5,ED-US,I5_s06-3,160,270,13718
0.094562751,0.479809135,I5,ED-US,I5_s06-3,320,270,13718
0.088116108,0.507992866,I5,ED-US,I5_s06-3,640,270,13718
0.227520704,0.000156821,I5,ED-US,I5_s08-6,20,275,13718
0.188400283,0.003426582,I5,ED-US,I5_s08-6,40,275,13718
